Topic,Words
Topic 81,"joan: 0.27072, river: 0.22857, tribute: 0.02796, apprentice: 0.0211, funeral: 0.02025, boardroom: 0.01803, celebrity: 0.01776, woman: 0.01665, miss: 0.01556, seeing: 0.01418"
Topic 82,"terrorist: 0.06864, terrorism: 0.06642, islamic: 0.0595, terror: 0.04279, soleimani: 0.03051, radical: 0.02407, attack: 0.01812, islam: 0.01402, kingdom: 0.0138, kill: 0.01156"
Topic 83,"usdot: 0.09987, transit: 0.05504, airport: 0.03908, improvement: 0.0364, area: 0.03533, bridge: 0.02838, funding: 0.02722, fund: 0.02712, region: 0.02579, improve: 0.02322"
Topic 84,"scotland: 0.10925, aberdeen: 0.08441, golf: 0.0554, link: 0.05198, course: 0.05016, scottish: 0.03934, hole: 0.02363, play: 0.01667, tourism: 0.01499, robb: 0.0145"
Topic 85,"newsmax: 0.18748, media: 0.04078, foot: 0.01052, hopeful: 0.0098, article: 0.00958, donald: 0.00948, brand: 0.00888, authority: 0.0083, effect: 0.00817, kerry: 0.0078"
Topic 86,"celebrity: 0.11287, apprentice: 0.09687, episode: 0.07904, sunday: 0.04616, finale: 0.02815, tune: 0.0276, forget: 0.02687, tonight: 0.02576, season: 0.01932, hour: 0.01829"
Topic 87,"senate: 0.05643, bipartisan: 0.01902, nate: 0.01443, majority: 0.01438, senator: 0.01251, confirmation: 0.01251, floor: 0.01082, pass: 0.01047, proposal: 0.01021, obstruct: 0.01021"
Topic 88,"donald: 0.04298, tyson: 0.02802, trump: 0.01215, step: 0.01166, defying: 0.00995, zoom: 0.00995, showcase: 0.00995, triple: 0.00995, rebuke: 0.00995, inside: 0.00973"
Topic 89,"stock: 0.12406, market: 0.10721, high: 0.02553, record: 0.01984, increase: 0.01438, nasdaq: 0.01297, commodity: 0.01159, fragile: 0.01131, june: 0.01098, yesterday: 0.01071"
Topic 90,"system: 0.02015, president: 0.01967, answer: 0.0174, rigg: 0.01727, plot: 0.01457, term: 0.01278, pursuing: 0.0102, trailer: 0.00986, acting: 0.0098, betrayal: 0.00957"
